Year,ID,Party,VCF0228,VCF0231,VCF0290,VCF0211,VCF0218,VCF0212,VCF0224,VCF0204,VCF0234,VCF0206,VCF0207,VCF0217,VCF0227,VCF0219,VCF0232,VCF0233,VCF0253,VCF0209,VCF0210,VCF0210,VCF0220,VCF0223
2012,1,Strong Democrat,99,99,49,99,97,99,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,2,Strong Democrat,15,85,49,85,97,30,0,70,60,97,0,5,5,70,85,5,70,40,84,84,70,70
2012,3,Strong Democrat,85,97,49,60,97,70,0,97,98,97,85,70,40,97,50,50,60,70,85,85,70,97
2012,4,Strong Democrat,60,60,91,97,97,85,85,85,0,99,99,99,99,97,0,50,85,97,85,85,97,97
2012,5,Independent Democrat,40,70,55,85,70,40,40,85,40,97,85,97,85,97,70,40,85,60,60,60,40,60
2012,6,Independent,25,25,56,50,97,20,14,35,45,97,40,45,50,50,50,50,35,45,45,45,35,75
2012,7,Strong Democrat,50,85,56,50,97,70,15,70,70,99,99,99,99,70,85,99,60,85,70,70,30,30
2012,8,Independent Democrat,85,97,74,70,97,85,50,97,85,97,97,97,97,97,70,97,85,97,85,85,85,85
2012,9,Strong Democrat,50,40,55,50,60,40,50,50,50,70,70,50,50,50,50,30,50,40,70,70,50,50
2012,10,Weak Republican,50,60,55,50,50,70,60,60,50,50,50,50,50,70,50,30,50,60,40,40,50,50
2012,11,Independent Republican,15,30,23,50,30,60,15,85,30,60,50,60,60,85,50,15,40,40,70,70,40,70
2012,12,Independent Republican,40,40,50,50,50,60,50,50,50,50,50,50,50,85,50,15,50,45,45,45,50,85
2012,13,Weak Democrat,70,70,50,85,70,40,30,50,30,50,50,70,50,85,50,40,40,85,60,60,70,70
2012,14,Independent,50,50,23,50,30,50,15,50,50,85,50,85,15,60,50,40,50,50,50,50,50,60
2012,15,Strong Republican,30,15,30,40,0,70,60,85,40,85,85,85,85,85,70,0,0,60,0,0,60,50
2012,16,Weak Republican,50,15,38,50,15,50,60,50,50,50,50,50,50,50,50,50,50,50,15,15,30,50
2012,17,Weak Republican,40,0,28,0,15,97,40,50,15,97,97,97,97,97,50,40,15,40,0,0,40,85
2012,18,Strong Democrat,60,50,58,60,85,50,30,85,50,70,70,70,70,85,85,70,50,60,85,85,15,70
2012,19,Weak Republican,70,70,50,50,50,60,50,98,70,97,97,50,97,50,50,60,50,50,50,50,50,50
2012,20,Independent Democrat,15,97,8,60,15,85,0,0,97,97,97,0,0,70,0,97,50,97,30,30,30,97
2012,21,Strong Republican,40,40,35,40,30,60,40,60,50,70,70,70,70,60,50,40,50,40,15,15,40,60
2012,22,Independent Democrat,60,60,30,0,30,60,30,40,85,60,97,0,40,70,85,0,50,60,85,85,85,60
2012,23,Weak Democrat,50,50,45,60,50,50,40,60,60,50,60,50,50,60,50,40,50,60,50,50,50,60
2012,24,Strong Democrat,99,99,68,99,85,99,50,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,25,Independent,70,60,50,40,50,60,50,70,60,85,85,70,70,70,50,70,60,70,60,60,70,70
2012,26,Weak Democrat,99,99,40,99,40,99,40,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,27,Independent Republican,40,15,50,15,30,85,70,97,70,50,50,50,50,97,0,50,15,40,60,60,60,97
2012,28,Strong Republican,50,30,43,15,0,97,85,85,70,85,85,85,85,97,97,85,85,50,30,30,85,97
2012,29,Independent,50,40,30,50,30,50,30,50,40,50,60,40,50,85,15,30,40,40,70,70,50,85
2012,30,Independent Democrat,30,40,28,40,40,30,15,40,15,70,70,70,70,60,85,40,85,50,70,70,60,70
2012,31,Independent Democrat,15,40,43,60,70,60,15,85,40,85,85,85,85,97,70,85,70,85,40,40,60,60
2012,32,Independent Democrat,60,60,68,60,85,70,50,70,60,99,99,99,99,70,60,99,70,60,70,70,60,70
2012,33,Independent Democrat,60,60,20,50,40,50,0,50,30,85,70,70,80,85,40,50,70,30,70,70,40,70
2012,34,Independent Democrat,40,60,45,40,50,40,40,70,50,50,60,70,50,50,60,60,60,50,60,60,15,70
2012,35,Weak Democrat,97,97,58,97,85,85,30,85,85,70,85,85,85,97,85,70,85,97,97,97,70,97
2012,36,Independent,0,30,60,40,60,30,60,98,98,60,70,97,85,50,85,30,60,0,40,40,40,70
2012,37,Independent Democrat,50,50,78,50,70,50,85,65,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2012,38,Independent Democrat,50,40,50,70,50,30,50,85,70,70,60,97,30,85,60,50,85,50,50,50,85,85
2012,39,Weak Democrat,30,30,55,40,70,30,40,15,30,30,40,30,30,70,40,40,40,30,30,30,40,60
2012,40,Independent,50,40,999,50,99,99,99,70,60,50,50,85,60,70,85,70,40,50,70,70,70,50
2012,41,Strong Republican,70,30,50,30,15,85,85,85,50,50,50,85,50,85,50,50,85,85,30,30,50,85
2012,42,Strong Democrat,50,60,63,90,75,50,50,90,50,90,75,80,75,90,85,50,95,10,50,50,50,85
2012,43,Weak Democrat,60,70,60,50,70,50,50,80,50,70,85,85,85,80,90,15,60,40,50,50,40,70
2012,44,Independent Republican,30,40,35,15,0,85,70,85,60,85,85,85,85,85,85,40,40,60,15,15,70,70
2012,45,Weak Republican,40,30,50,15,30,50,70,50,50,50,50,50,50,60,50,30,50,50,0,0,40,60
2012,46,Weak Republican,60,0,43,30,15,85,70,85,97,70,70,70,70,85,50,40,0,70,30,30,50,85
2012,47,Strong Republican,30,60,15,85,15,85,15,85,85,85,85,85,85,85,85,85,30,30,0,0,85,85
2012,48,Independent Republican,0,0,25,30,0,70,50,40,15,50,50,50,50,97,50,0,40,85,0,0,60,97
